id,name,description,examples,is_high_value,impact_description,sort_order,created_at,updated_at
550e8400-e29b-41d4-a716-446655440001,Complete Systems & Methodologies,"End-to-end business systems, frameworks, or methodologies that provide comprehensive solutions","[""Customer onboarding systems"",""Sales frameworks"",""Implementation methodologies""]",true,High training value - provides complete business context and methodology,1,2025-09-21 02:06:04.822352+00,2025-09-21 02:06:04.822352+00
550e8400-e29b-41d4-a716-446655440002,Proprietary Strategies & Approaches,"Unique business strategies, competitive advantages, or innovative approaches specific to your organization","[""Competitive positioning strategies"",""Unique value propositions"",""Market differentiation approaches""]",true,High training value - captures unique competitive intelligence and strategic thinking,2,2025-09-21 02:06:04.822352+00,2025-09-21 02:06:04.822352+00
550e8400-e29b-41d4-a716-446655440013,Process Documentation & Workflows,"Step-by-step processes, standard operating procedures, and workflow documentation","[""Standard operating procedures"",""Quality assurance processes"",""Approval workflows""]",false,Medium training value - provides operational knowledge and process understanding,3,2025-09-22 00:04:58.061727+00,2025-09-22 00:04:58.061727+00
550e8400-e29b-41d4-a716-446655440014,Customer Insights & Case Studies,"Customer success stories, case studies, testimonials, and customer research insights","[""Customer success stories"",""Implementation case studies"",""Customer feedback analysis""]",true,High training value - provides real-world application examples and customer perspective,4,2025-09-22 00:04:58.061727+00,2025-09-22 00:25:46.800327+00
550e8400-e29b-41d4-a716-446655440015,Market Research & Competitive Intelligence,"Market analysis, competitive research, industry insights, and business intelligence","[""Market analysis reports"",""Competitive research"",""Industry trend analysis""]",true,High training value - provides market context and competitive landscape understanding,5,2025-09-22 00:04:58.061727+00,2025-09-22 00:04:58.061727+00
550e8400-e29b-41d4-a716-446655440016,Sales Enablement & Customer-Facing Content,Materials designed to support sales processes and customer interactions,"[""Sales presentations"",""Proposal templates"",""ROI calculators""]",false,Medium training value - provides customer interaction patterns and value messaging,6,2025-09-22 00:04:58.061727+00,2025-09-22 00:04:58.061727+00
550e8400-e29b-41d4-a716-446655440017,Training Materials & Educational Content,"Educational content, training guides, and learning materials for team development","[""Employee training guides"",""Skill development materials"",""Certification programs""]",false,Medium training value - builds training capabilities and knowledge transfer methods,7,2025-09-22 00:04:58.061727+00,2025-09-22 00:04:58.061727+00
550e8400-e29b-41d4-a716-446655440018,Knowledge Base & Reference Materials,"Reference materials, knowledge articles, and informational content for ongoing use","[""Technical specifications"",""Product documentation"",""FAQ collections""]",false,Medium training value - builds foundational knowledge and reference capabilities,8,2025-09-22 00:04:58.061727+00,2025-09-22 00:04:58.061727+00
550e8400-e29b-41d4-a716-446655440019,Communication Templates & Messaging,"Email templates, communication frameworks, and messaging guidelines","[""Email templates"",""Communication protocols"",""Messaging frameworks""]",false,Low training value - primarily template-based content with limited strategic insight,9,2025-09-22 00:04:58.061727+00,2025-09-22 00:04:58.061727+00
550e8400-e29b-41d4-a716-446655440020,Project Artifacts & Deliverables,"Project-specific documents, deliverables, and milestone documentation","[""Project reports"",""Milestone deliverables"",""Implementation artifacts""]",false,Medium training value - provides project execution patterns and deliverable examples,10,2025-09-22 00:04:58.061727+00,2025-09-22 00:26:28.193148+00
